ReadingID;Lines;Lon;VehicleNumber;Time;Lat;Brigade
3;523;21.1159484;8846;2024-02-17 10:49:08;52.2337415;12
3;N24;21.116184;8848;2024-02-17 05:28:27;52.2343598;3
3;502;21.1158476;8850;2024-02-17 10:44:39;52.2337213;465
3;158;21.115155;8851;2024-02-16 23:02:00;52.234106;8
3;520;21.1152045;8852;2024-02-17 09:08:25;52.2344615;1
3;502;21.1172983;8853;2024-02-19 03:42:50;52.2333425;719
3;502;21.1167178;8854;2024-02-17 19:37:31;52.2343106;462
3;502;21.1163486;8855;2024-02-17 10:42:26;52.2342608;467
3;138;21.0439231;8856;2024-02-19 03:19:40;52.2660758;7
3;500;21.0455925;8857;2024-02-16 09:48:43;52.2652798;5
3;500;21.043781;8858;2024-02-17 15:21:02;52.265614;7
3;738;21.0484291;8859;2024-02-16 17:51:37;52.2643493;3
3;138;21.0420966;8860;2024-02-17 00:16:59;52.265915;6
3;E-2;21.0486226;8861;2024-02-16 19:14:16;52.2647101;02
3;162;21.047233;8862;2024-02-19 03:37:52;52.2642951;5
3;140;21.0485455;8863;2024-02-16 18:31:16;52.2645176;06
3;512;21.0471826;8864;2024-02-17 09:33:50;52.2633578;5
3;512;21.047534;8865;2024-02-17 02:07:55;52.263328;4
3;138;21.0444808;8867;2024-02-16 23:24:27;52.2655765;4
3;500;21.044078;8868;2024-02-17 00:14:57;52.265678;1
3;138;21.048238;8869;2024-02-17 16:01:17;52.264211;8
3;512;21.0475088;8870;2024-02-16 22:37:16;52.2632831;1
3;340;21.0483505;8871;2024-02-16 15:10:37;52.2642453;02
3;210;21.046117;8872;2024-02-19 02:53:49;52.265076;2
3;140;21.0475683;8873;2024-02-19 03:42:43;52.2637321;064
3;140;21.0482773;8874;2024-02-16 19:10:43;52.2641953;09
3;Z26;21.0478788;8875;2024-02-19 03:42:43;52.2639795;2
3;245;21.044045;8876;2024-02-19 03:42:35;52.266089;2
3;140;21.048656;8877;2024-02-16 18:58:54;52.2645896;08
3;723;21.0447521;8878;2024-02-19 03:42:45;52.265039;2
3;340;21.0485338;8879;2024-02-17 00:36:39;52.2645855;02
3;709;20.996283;8880;2024-02-17 04:44:29;52.187533;7
3;141;20.9964493;8881;2024-02-19 03:42:50;52.1875663;8
3;168;20.9968145;8882;2024-02-19 03:42:45;52.186882;7
3;517;20.9968491;8883;2024-02-18 00:03:31;52.185847;9
3;217;20.9974526;8884;2024-02-16 22:00:37;52.1864356;4
3;709;20.9964951;8885;2024-02-16 19:10:54;52.1868911;012
3;168;20.998023;8886;2024-02-17 00:20:51;52.188101;5
3;168;20.998329;8889;2024-02-17 05:24:06;52.188049;4
3;143;20.998224;8890;2024-02-19 03:42:43;52.1881976;1
3;308;20.996507;8891;2024-02-16 18:55:11;52.1868721;02
3;148;20.9984846;8892;2024-02-17 03:26:50;52.1882866;1
3;187;20.9979483;8893;2024-02-19 03:42:40;52.1883106;2
3;166;20.9965495;8894;2024-02-16 20:17:50;52.1862736;011
3;317;20.996332;8895;2024-02-19 03:42:46;52.1875241;1
3;172;20.9979741;8896;2024-02-19 03:42:46;52.1880385;9
3;148;20.997797;8897;2024-02-19 03:42:41;52.1876713;7
3;317;20.9982553;8898;2024-02-19 03:42:46;52.1881195;5
3;136;20.998026;8899;2024-02-19 03:42:42;52.188501;9
3;104;21.015755;9061;2024-02-19 01:11:26;52.318344;1
3;161;21.016108;9062;2024-02-18 09:54:01;52.3188032;1
3;234;21.014965;9063;2024-02-17 22:52:32;52.318066;3
3;161;21.014885;9064;2024-02-19 00:53:09;52.31802;1
